City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,pop by share of vote
Brockton,4,A,142,36,180,1584.182381086406
Brockton,4,B,241,130,374,3291.578947368421
Brockton,4,C,236,163,402,3538.00731775964
Brockton,4,D,248,154,408,3590.8133971291863
Brockton,5,A,191,56,249,2191.4522938361947
Brockton,5,B,303,144,452,3978.0579791725304
Brockton,5,C,248,103,354,3115.558682803265
Brockton,5,D,304,172,479,4215.685336335491
Brockton,6,A,128,98,227,1997.830002814523
Brockton,6,B,255,221,481,4233.287362792007
Brockton,6,C,213,143,361,3177.1657754010694
Brockton,6,D,231,217,450,3960.455952716015
Brockton,7,A,241,61,303,2666.7070081621164
Brockton,7,B,353,97,455,4004.4610188573033
Brockton,7,C,295,102,402,3538.00731775964
Brockton,7,D,249,169,423,3722.828595553054
Brookfield,-,1,250,413,665,3390.0
Brookline,-,1,590,139,732,3364.519017060573
Brookline,-,2,412,58,472,2169.4712787603694
Brookline,-,3,687,141,834,3833.3454374706525
Brookline,-,4,597,114,714,3281.784942870559
Brookline,-,5,769,146,916,4210.245108780717
Brookline,-,6,797,97,898,4127.511034590703
Brookline,-,7,613,80,695,3194.454531225544
Brookline,-,8,750,101,852,3916.0795116606664
Brookline,-,9,714,111,826,3796.5747378306464
Brookline,-,10,600,108,708,3254.206918140554
Brookline,-,11,706,114,825,3791.978400375646
Brookline,-,12,844,176,1023,4702.053216465801
Brookline,-,13,614,171,786,3612.7212396306154
Brookline,-,14,546,190,738,3392.097041790578
Brookline,-,15,581,295,878,4035.584285490687
Brookline,-,16,660,219,881,4049.373297855689
Buckland,-,1,328,129,463,1902.0
Burlington,-,1,353,459,817,4330.3474686283
Burlington,-,2,222,207,435,2305.631761142363
Burlington,-,3,357,371,734,3890.422327996538
Burlington,-,4,316,328,648,3434.596278667244
Burlington,-,5,317,411,731,3874.5214192990043
Burlington,-,6,298,402,704,3731.4132410212032
Burlington,-,7,272,277,553,2931.0675032453482
Cambridge,1,1,366,103,470,2340.69615457473
Cambridge,1,2,404,101,511,2544.8845425269938
Cambridge,1,3,463,96,565,2813.8155900738775
Cambridge,2,1,478,37,518,2579.7459746164045
Cambridge,2,2,43,15,59,293.83207046789164
Cambridge,2,3,195,38,237,1180.3084864557682
Cambridge,3,1,422,79,509,2534.9241333585906
Cambridge,3,2,347,32,382,1902.4381511649933
Cambridge,3,2A,219,10,231,1150.4272589505588
Cambridge,3,3,517,47,569,2833.736408410684
Cambridge,4,1,690,37,728,3625.5889372987303
Cambridge,4,2,722,76,803,3999.1042811138473
Cambridge,4,3,207,22,230,1145.4470543663574
Cambridge,5,1,634,55,693,3451.2817768516766
Cambridge,5,2,695,66,762,3794.915893161584
Cambridge,5,3,522,51,574,2858.6374313316915
Cambridge,6,1,746,82,830,4133.569804887289
Cambridge,6,2,668,72,742,3695.3118014775528
Cambridge,6,3,743,88,836,4163.451032392499
Cambridge,7,1,799,49,852,4243.1343057397235
Cambridge,7,2,315,35,354,1762.9924228073496
