City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,pop by share of vote
Cambridge,8,2,1170,198,1380,2859.6338844115157
Cambridge,8,3,480,81,570,1181.1531261699738
Cambridge,9,1,1803,345,2159,4473.8764901771465
Cambridge,9,2,1562,399,1973,4088.447575321681
Cambridge,9,3,1446,355,1810,3750.679225206408
Cambridge,10,1,1729,265,2005,4154.757926264557
Cambridge,10,2,1807,240,2056,4260.440048079766
Cambridge,10,3,1434,203,1647,3412.9108750911346
Cambridge,11,1,1191,129,1335,2766.3849533980965
Cambridge,11,2,1788,359,2157,4469.732093243217
Cambridge,11,3,1352,280,1642,3402.5498827563106
Canton,-,1,905,1006,1919,3317.741881164301
Canton,-,2,1009,1137,2162,3737.862400769786
Canton,-,3,907,988,1913,3307.368535001203
Canton,-,4,932,1396,2337,4040.418330526822
Canton,-,5,946,1192,2149,3715.3868174164063
Canton,-,6,925,1044,1991,3442.222035121482
Carlisle,-,1,1810,1543,3374,4852.0
Carver,-,1,751,1203,1967,3719.7178770949718
Carver,-,2,752,1178,1942,3672.441340782123
Carver,-,3,863,1305,2177,4116.840782122905
Charlemont,-,1,425,210,643,1266.0
Charlton,-,1,600,1030,1641,3157.696560924993
