City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,
Cambridge,4,3,570,107,690,
Cambridge,5,1,"1,426",188,"1,628",
Cambridge,5,2,"1,556",254,"1,823",
Cambridge,5,3,"1,165",155,"1,334",
Cambridge,6,1,"1,566",222,"1,799",
Cambridge,6,2,"1,464",255,"1,737",
Cambridge,6,3,"1,617",287,"1,919",
Cambridge,7,1,"1,625",166,"1,808",
Cambridge,7,2,946,156,"1,116",
Cambridge,7,3,691,109,813,
Cambridge,8,1,"1,150",204,"1,371",
Cambridge,8,2,"1,170",198,"1,380",
Cambridge,8,3,480,81,570,
Cambridge,9,1,"1,803",345,"2,159",
Cambridge,9,2,"1,562",399,"1,973",
Cambridge,9,3,"1,446",355,"1,810",
Cambridge,10,1,"1,729",265,"2,005",
Cambridge,10,2,"1,807",240,"2,056",
Cambridge,10,3,"1,434",203,"1,647",
Cambridge,11,1,"1,191",129,"1,335",
Cambridge,11,2,"1,788",359,"2,157",
Cambridge,11,3,"1,352",280,"1,642",
Canton,-,1,905,"1,006","1,919",
Canton,-,2,"1,009","1,137","2,162",
Canton,-,3,907,988,"1,913",
Canton,-,4,932,"1,396","2,337",
Canton,-,5,946,"1,192","2,149",
Canton,-,6,925,"1,044","1,991",
Carlisle,-,1,"1,810","1,543","3,374",
Carver,-,1,751,"1,203","1,967",
Carver,-,2,752,"1,178","1,942",
Carver,-,3,863,"1,305","2,177",
Charlemont,-,1,425,210,643,
Charlton,-,1,600,"1,030","1,641",
Charlton,-,2,586,"1,173","1,767",
Charlton,-,3,604,"1,117","1,733",
Charlton,-,4,539,"1,055","1,605",
Chatham,-,1,"2,075","2,559","4,654",
Chelmsford,-,1,923,"1,310","2,246",
Chelmsford,-,2,849,"1,075","1,946",
Chelmsford,-,3,850,"1,292","2,162",
Chelmsford,-,4,775,"1,178","1,967",
Chelmsford,-,5,904,"1,204","2,131",
Chelmsford,-,6,910,"1,458","2,385",
Chelmsford,-,7,919,"1,466","2,396",
Chelmsford,-,8,965,"1,287","2,264",
Chelmsford,-,9,844,"1,310","2,167",
Chelsea,1,1,376,131,515,
Chelsea,1,2,244,47,305,
Chelsea,1,3,345,75,437,
Chelsea,1,4,270,49,330,
Chelsea,2,1,694,332,"1,059",
Chelsea,2,2,351,65,440,
Chelsea,2,3,222,52,289,
Chelsea,2,4,343,60,423,
Chelsea,3,1,421,89,527,
Chelsea,3,2,436,130,583,
Chelsea,3,3,413,113,545,
Chelsea,3,4,394,138,546,
Chelsea,4,1,414,132,559,
Chelsea,4,2,516,256,807,
Chelsea,4,3,443,213,673,
Chelsea,4,4,433,157,605,
Cheshire,-,1,"1,115",625,"1,761",
Chester,-,1,285,379,667,
Chesterfield,-,1,415,302,723,
Chicopee,1,A,675,679,"1,377",
Chicopee,1,B,875,837,"1,743",
Chicopee,2,A,610,338,971,
Chicopee,2,B,739,684,"1,439",
Chicopee,3,A,659,490,"1,172",
Chicopee,3,B,607,366,994,
Chicopee,4,A,630,591,"1,239",
