City/Town,Ward,Pct,Edward M. Kennedy,Kenneth G. Chase,Total Votes Cast,
Chicopee,1,B,814,376,"1,225",
Chicopee,2,A,202,49,258,
Chicopee,2,B,284,102,393,
Chicopee,2,CN,92,41,137,
Chicopee,2,CS,128,47,176,
Chicopee,2,D,412,185,619,
Chicopee,3,AE,211,88,309,
Chicopee,3,AW,352,176,545,
Chicopee,3,B,299,80,389,
Chicopee,3,C,305,102,414,
Chicopee,4,A,388,160,563,
Chicopee,4,B,339,132,483,
Chicopee,4,C,509,278,812,
Chicopee,5,A,574,233,831,
Chicopee,5,B,678,276,980,
Chicopee,6,AN,186,75,270,
Chicopee,6,AS,432,223,673,
Chicopee,6,BE,594,380,"1,010",
Chicopee,6,BW,163,60,235,
Chicopee,7,A,462,183,668,
Chicopee,7,B,499,181,700,
Chicopee,8,A,624,279,934,
Chicopee,8,B,597,241,871,
Chicopee,9,A,666,323,"1,015",
Chicopee,9,B,776,398,"1,204",
Chilmark,-,1,452,113,590,
Clarksburg,-,1,477,141,632,
Clinton,-,1,864,422,"1,331",
Clinton,-,2,611,308,950,
Clinton,-,3,780,382,"1,187",
Clinton,-,4,769,283,"1,095",
Cohasset,-,1,"1,032",764,"1,866",
Cohasset,-,2,999,682,"1,760",
Colrain,-,1,445,163,631,
Concord,-,1,918,370,"1,329",
Concord,-,2,"1,318",470,"1,823",
Concord,-,3,"1,177",522,"1,748",
Concord,-,4,"1,237",477,"1,755",
Concord,-,5,"1,282",476,"1,818",
Conway,-,1,755,199,971,
Cummington,-,1,303,79,393,
Dalton,-,1,878,277,"1,178",
Dalton,-,2,920,298,"1,245",
Danvers,-,1,782,380,"1,198",
Danvers,-,2,917,474,"1,424",
Danvers,-,3,737,430,"1,215",
Danvers,-,4,796,474,"1,300",
Danvers,-,5,836,498,"1,366",
Danvers,-,6,811,563,"1,405",
Danvers,-,7,802,498,"1,340",
Danvers,-,8,783,476,"1,287",
Dartmouth,-,1,671,325,"1,028",
Dartmouth,-,2,565,209,800,
Dartmouth,-,3,309,89,411,
Dartmouth,-,4,361,275,"1,070",
Dartmouth,-,5,918,383,"1,339",
Dartmouth,-,6,851,224,"1,103",
Dartmouth,-,7,859,282,"1,167",
Dartmouth,-,8,872,214,"1,117",
Dartmouth,-,9,"1,045",507,"1,618",
Dartmouth,-,10,920,476,"1,442",
Dedham,-,1,818,538,"1,420",
Dedham,-,2,"1,020",419,"1,495",
Dedham,-,3,779,307,"1,134",
Dedham,-,4,"1,105",466,"1,647",
Dedham,-,5,906,413,"1,380",
Dedham,-,6,891,375,"1,310",
Dedham,-,7,"1,068",530,"1,658",
Deerfield,-,1,"1,756",553,"2,361",
Dennis,-,1,"1,023",711,"1,774",
Dennis,-,2,"1,037",743,"1,815",
Dennis,-,3,744,444,"1,217",
Dennis,-,4,983,624,"1,634",
Dennis,-,5,971,513,"1,523",
Dighton,-,1,"1,477",852,"2,393",
Douglas,-,1,811,626,"1,476",
Douglas,-,2,737,583,"1,361",
Dover,-,1,"1,411","1,235","2,749",
Dracut,-,1,683,443,"1,175",
Dracut,-,2,602,368,"1,005",
Dracut,-,3,712,431,"1,192",
Dracut,-,4,727,494,"1,263",
Dracut,-,5,619,398,"1,060",
Dracut,-,6,632,347,"1,007",
Dracut,-,6A,46,9,58,
Dracut,-,7,604,399,"1,037",
Dracut,-,8,815,526,"1,387",
Dracut,-,9,715,424,"1,179",
Dudley,-,1,544,282,840,
Dudley,-,2,476,231,719,
Dudley,-,3,670,412,"1,124",
Dudley,-,4,453,283,753,
Dunstable,-,1,732,591,"1,362",
Duxbury,-,1,704,495,"1,232",
Duxbury,-,2,731,683,"1,444",
Duxbury,-,3,665,497,"1,185",
Duxbury,-,4,597,431,"1,057",
Duxbury,-,5,605,453,"1,090",
Duxbury,-,6,649,510,"1,183",
E. Bridgewater,-,1,681,522,"1,252",
E. Bridgewater,-,2,701,520,"1,263",
E. Bridgewater,-,3,825,503,"1,373",
E. Bridgewater,-,4,656,494,"1,191",
E. Brookfield,-,1,455,350,823,
E. Longmeadow,-,1,894,602,"1,573",
E. Longmeadow,-,2,774,498,"1,335",
E. Longmeadow,-,3,863,709,"1,630",
E. Longmeadow,-,4,794,741,"1,599",
Eastham,-,1,"1,913","1,104","3,068",
Easthampton,-,1,911,340,"1,285",
Easthampton,-,2,837,210,"1,071",
Easthampton,-,3,872,276,"1,169",
Easthampton,-,4,"1,018",357,"1,410",
Easthampton,-,5,947,446,"1,421",
Easton,-,1,545,401,990,
Easton,-,2,"1,023",587,"1,663",
Easton,-,3,857,492,"1,398",
Easton,-,4,862,577,"1,503",
Easton,-,5,"1,096",632,"1,784",
Easton,-,6,876,618,"1,540",
Edgartown,-,1,"1,184",512,"1,750",
Egremont,-,1,513,137,659,
Erving,-,1,401,117,536,
Essex,-,1,"1,008",663,"1,736",
Everett,1,1,427,122,595,
Everett,1,2,318,78,430,
Everett,1,3,300,111,434,
Everett,2,1,367,126,524,
Everett,2,2,352,103,492,
Everett,2,3,378,95,497,
Everett,3,1,594,158,808,
Everett,3,2,358,88,479,
Everett,3,3,443,153,635,
Everett,4,1,455,163,671,
Everett,4,2,397,106,534,
Everett,4,3,359,113,508,
Everett,5,1,481,101,619,
Everett,5,2,345,112,482,
Everett,5,3,377,114,515,
Everett,6,1,430,108,577,
Everett,6,2,351,119,496,
Everett,6,3,383,98,518,
Fairhaven,-,1,703,277,"1,011",
Fairhaven,-,2,822,263,"1,116",
Fairhaven,-,3,694,167,892,
Fairhaven,-,4,701,224,956,
Fairhaven,-,5,753,240,"1,022",
Fairhaven,-,6,800,287,"1,111",
Fall River,1,A,656,154,860,
Fall River,1,B,567,131,730,
Fall River,1,C,521,104,664,
Fall River,1,D,567,116,705,
Fall River,2,A,460,81,564,
Fall River,2,B,482,88,589,
Fall River,2,C,580,151,759,
Fall River,3,A,754,147,926,
Fall River,3,B,732,172,938,
Fall River,3,C,690,150,867,
Fall River,4,A,544,121,690,
Fall River,4,B,407,69,493,
Fall River,4,C,614,73,716,
Fall River,5,A,317,56,382,
Fall River,5,B,359,67,442,
Fall River,5,C,374,54,446,
Fall River,6,A,704,184,929,
Fall River,6,B,484,89,600,
Fall River,6,C,611,144,777,
Fall River,7,A,301,49,362,
Fall River,7,B,397,156,582,
Fall River,7,C,370,90,479,
Fall River,7,D,457,77,558,
Fall River,8,A,400,113,542,
Fall River,8,B,709,242,"1,016",
Fall River,8,C,755,160,967,
Fall River,8,D,493,135,670,
Fall River,9,A,"1,139",372,"1,593",
Fall River,9,B,696,186,929,
Fall River,9,C,702,214,963,
Falmouth,-,1,"1,346",523,"1,925",
Falmouth,-,2,"1,097",448,"1,573",
Falmouth,-,3,"1,084",587,"1,716",
Falmouth,-,4,"1,061",565,"1,666",
Falmouth,-,5,"1,198",736,"1,976",
