City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,,,,,,,,,
Brockton,5,C,979,232,"1,275",,,,,,,,,
Brockton,5,D,934,480,"1,511",,,,,,,,,
Brockton,6,A,805,236,"1,096",,,,,,,,,
Brockton,6,B,956,596,"1,673",,,,,,,,,
Brockton,6,C,910,402,"1,398",,,,,,,,,
Brockton,6,D,835,584,"1,533",,,,,,,,,
Brockton,7,A,896,146,"1,083",,,,,,,,,
Brockton,7,B,"1,047",252,"1,368",,,,,,,,,
Brockton,7,C,"1,018",215,"1,282",,,,,,,,,
Brockton,7,D,941,386,"1,410",,,,,,,,,
Brookfield,-,1,708,936,"1,827",,,,,,,,,
Brookline,-,1,"1,518",173,"1,802",,,,,,,,,
Brookline,-,2,"1,070",121,"1,265",,,,,,,,,
Brookline,-,3,"1,617",172,"1,901",,,,,,,,,
Brookline,-,4,"1,429",221,"1,746",,,,,,,,,
Brookline,-,5,"1,640",205,"1,967",,,,,,,,,
Brookline,-,6,"1,711",151,"1,989",,,,,,,,,
Brookline,-,7,"1,470",153,"1,770",,,,,,,,,
Brookline,-,8,"1,626",146,"1,887",,,,,,,,,
Brookline,-,9,"1,551",159,"1,810",,,,,,,,,
Brookline,-,10,"1,538",191,"1,839",,,,,,,,,
Brookline,-,11,"1,634",183,"1,907",,,,,,,,,
Brookline,-,12,"1,868",204,"2,217",,,,,,,,,
Brookline,-,13,"1,622",184,"1,943",,,,,,,,,
